hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      F_total     S.Rate(Hz)   FOM      
190.006862    348.219470    440.021320    53309.239774    9722449.113014    192209166949770.093750    5385285633.314301    26875.744296    39400618.690326    0.984099    7.049289    282.168894
195.540316    313.805353    433.139954    85186.926752    9309708.469152    191677821320887.187500    5567200989.386119    35030.538944    563949472.911277    0.984275    23.414702    947.760341
213.806048    325.733644    426.175613    99457.402090    8733753.217351    194872344826845.187500    5488024079.267138    38358.567197    75987919.784342    0.984164    34.122025    1371.492804
231.113170    330.151671    447.329004    110682.273106    8771161.944329    190266822046503.750000    5404671112.582857    34824.829890    17569115.808247    0.983785    39.314517    1543.217899
191.643256    357.687046    427.267135    7487.698525    9102742.696123    196459290481209.468750    5316720619.865624    32619.368221    432280299.235427    0.984279    0.163929    6.636942
223.521390    330.038288    455.228051    336610.913169    8579513.218069    200377004096557.687500    5405140188.047321    95557.412549    35632051.222327    0.983618    944.907650    36710.941303
238.044674    316.886089    423.423216    135558.699944    8365114.787834    195588891103176.031250    5491489187.787856    72759.685658    139134389.104440    0.984172    119.170983    4792.186928
231.539357    323.805451    473.095695    293392.120894    8994306.625116    195203364633087.875000    5368503201.827298    13375.224689    21357924.730805    0.983856    103.720713    4089.335983
195.102653    358.676400    467.583349    331134.822060    9904845.845624    198104306144908.093750    5292267464.088119    21205.265762    69218716.707942    0.984101    208.632649    8352.037992
242.688550    315.189825    417.343287    139891.410563    8447698.858811    197285076761491.031250    5500118370.857175    80032.151325    52130038.898784    0.984055    138.563271    5531.125884
247.473372    330.266458    420.900810    130866.135149    8050433.610429    197760207416202.156250    5408965904.000828    71424.485498    127965830.265656    0.984165    107.307969    4313.327671
208.930938    346.512627    446.989917    79009.589855    9611506.355613    190917291709639.718750    5362277423.699368    28745.021739    41116611.164613    0.984100    16.652788    666.624944
191.097297    355.077540    456.190056    358314.985989    9775543.817571    201019840947045.125000    5329037914.231712    26931.935105    3277330.420663    0.981782    305.336427    10666.682425
234.889939    364.331665    460.008659    95121.064006    8991299.567293    189809350138210.406250    5224866589.438346    27558.876587    53643417.733310    0.984127    23.101157    926.355639
196.193560    352.356760    431.826640    43052.189400    9476308.554059    194885175710463.062500    5352600894.494047    19221.488379    32854942.538427    0.984053    3.233926    129.075024
207.616849    359.515730    441.873612    58920.098871    9065530.391423    193200438971048.968750    5293624179.895964    31854.508359    4364177.504426    0.982367    10.075036    363.654242
191.162017    312.801714    432.266520    81778.785458    9128226.001770    191704376106826.000000    5581102490.187216    34709.885416    118601399.882369    0.984218    21.330314    860.271804
205.932800    317.697687    455.730132    336215.523230    9124712.368350    198917109666256.781250    5483406275.793611    28110.750008    65871551.385706    0.984045    281.391956    11225.764398
224.447056    308.201753    444.494390    108337.473564    8365565.444346    189308197313516.750000    5513703397.291309    39061.431927    6763228.961740    0.982927    42.219374    1573.883405
231.985502    340.358332    423.803714    96107.883218    8885175.215611    197328021936526.125000    5379017417.504567    61622.578841    48940507.487550    0.984097    50.652619    2027.240686
221.613581    329.744747    456.857429    334838.529808    9155536.575669    199836307200077.687500    5404132179.338490    102402.288148    23902312.572939    0.983500    1012.391645    39053.551878
222.410364    334.709841    459.282214    334059.774265    9073332.272593    199534521874794.125000    5379695337.109883    112456.669898    24092302.151925    0.983457    1107.152134    42596.099890
216.325201    336.132563    464.698298    1605302.991448    61898541.974601    197919036810470.500000    5369537783.542171    71337.132294    49386989.144939    0.977053    18137.472223    502976.252407
216.952195    336.093766    466.607661    320669.982879    9153767.582303    197403230589964.718750    5365241601.457286    93835.538441    20393386.895948    0.983508    861.316278    33240.318614
216.357958    337.752223    466.119563    347980.253811    10539168.153538    197637105020946.093750    5359361523.798456    74350.794460    15746814.360483    0.983490    814.983107    31418.604277
214.511463    336.017972    465.307521    320719.734687    8833989.958190    197676338414415.843750    5372352774.213583    67427.016557    65822591.308619    0.983888    615.697633    24322.937370
217.353564    335.996255    466.769878    320136.966672    9530556.475934    197375793544945.968750    5363539732.262799    69735.820350    57674026.123274    0.983878    640.971162    25304.340877
214.675441    337.655089    464.653231    326079.659518    9516428.690026    197977056923226.062500    5366783562.651161    95559.508068    28794024.632668    0.983617    908.321102    35289.175983
216.216539    336.560027    464.018857    327530.644355    9873418.975795    198141864264228.718750    5369254251.600324    93298.384876    50472263.866425    0.983752    897.586006    35160.427178
223.211915    334.744003    459.736507    415531.445318    12491849.047081    199411059557720.843750    5375140090.872696    114513.045423    8963272.365900    0.982849    1802.370043    66884.477912
212.992550    337.874663    455.626692    344541.923110    9268971.763507    200555529566146.843750    5385602769.691650    96248.395278    72232838.515850    0.983737    1005.298853    39344.361089
