hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
2.750034E+02   3.366097E+02   4.204256E+02   1.048609E+06   1.979447E+07   1.938947E+14   4.013660E+09   4.012112E+03   2.837105E+06   9.541049E-01   5.032885E+04   6.672806E-02   8.185467E-08
2.777702E+02   3.194027E+02   4.175583E+02   1.024819E+06   2.028641E+07   1.928994E+14   4.089493E+09   9.233361E+03   8.996771E+05   9.536980E-01   5.904883E+04   6.407978E-02   3.674662E-08
2.869030E+02   3.253668E+02   4.146565E+02   1.041461E+06   2.011753E+07   1.944882E+14   4.103893E+09   4.995443E+03   9.159622E+05   9.540634E-01   5.054924E+04   6.667889E-02   6.267603E-08
2.955566E+02   3.275758E+02   4.234704E+02   9.808738E+05   2.037785E+07   1.923947E+14   4.086749E+09   1.132986E+04   3.493102E+06   9.547342E-01   5.933941E+04   6.297659E-02   3.215484E-08
2.758216E+02   3.413435E+02   4.151113E+02   1.138872E+06   1.959665E+07   1.969782E+14   3.988496E+09   1.725878E+03   1.411370E+06   9.530845E-01   3.876425E+04   7.384624E-02   1.595506E-07
2.917607E+02   3.275191E+02   4.267617E+02   9.612425E+05   2.053949E+07   1.910968E+14   4.075343E+09   2.005724E+04   5.565732E+06   9.548197E-01   6.300842E+04   6.187029E-02   1.885221E-08
2.990223E+02   3.209430E+02   4.135097E+02   1.033551E+06   2.019700E+07   1.955940E+14   4.123772E+09   4.289461E+03   1.729250E+06   9.533040E-01   5.185527E+04   6.690532E-02   8.185467E-08
2.957697E+02   3.244027E+02   4.342065E+02   9.140128E+05   2.067626E+07   1.886693E+14   4.073618E+09   1.002452E+05   4.591950E+06   9.540854E-01   7.087949E+04   6.075428E-02   4.341913E-09
2.775513E+02   3.418382E+02   4.319097E+02   9.501843E+05   1.985073E+07   1.910122E+14   3.970520E+09   8.794573E+03   4.940442E+05   9.534161E-01   5.462427E+04   6.578140E-02   4.199411E-08
3.013443E+02   3.200949E+02   4.109764E+02   1.033413E+06   2.000577E+07   1.966842E+14   4.130428E+09   2.623211E+03   1.015795E+06   9.533828E-01   4.140605E+04   7.186058E-02   1.221677E-07
2.954644E+02   3.235940E+02   4.291831E+02   9.396811E+05   2.059161E+07   1.901469E+14   4.087133E+09   4.319101E+04   4.836950E+06   9.539784E-01   6.960485E+04   6.112918E-02   9.671799E-09
2.971871E+02   3.303885E+02   4.317038E+02   9.322919E+05   2.046315E+07   1.903173E+14   4.055658E+09   2.714730E+04   5.404538E+06   9.531709E-01   7.113700E+04   6.160131E-02   1.649648E-08
2.882920E+02   3.269015E+02   4.350000E+02   9.040736E+05   2.091598E+07   1.882872E+14   4.053699E+09   1.230653E+05   1.357064E+06   9.530537E-01   7.484910E+04   6.098959E-02   3.799357E-09
2.880457E+02   3.172771E+02   4.331606E+02   9.124078E+05   2.095372E+07   1.885298E+14   4.068043E+09   1.038190E+05   1.258667E+06   9.533171E-01   7.323660E+04   6.103699E-02   4.341913E-09
2.775522E+02   3.213404E+02   4.328550E+02   9.091054E+05   2.065462E+07   1.880574E+14   4.055998E+09   1.760421E+05   1.726096E+06   9.535967E-01   7.302196E+04   6.080348E-02   2.545641E-09
3.031752E+02   3.150219E+02   4.329669E+02   9.231639E+05   2.078614E+07   1.894716E+14   4.087056E+09   5.575098E+04   1.167920E+06   9.542584E-01   6.738102E+04   6.134827E-02   7.405685E-09
2.941125E+02   3.150368E+02   4.241856E+02   9.588811E+05   2.034950E+07   1.916434E+14   4.096535E+09   2.104228E+04   2.387937E+05   9.513308E-01   6.556523E+04   6.465521E-02   1.885221E-08
3.050000E+02   3.247516E+02   4.350000E+02   9.168380E+05   2.106968E+07   1.889913E+14   4.084972E+09   7.912911E+04   4.109068E+06   9.535486E-01   7.299981E+04   6.085524E-02   5.670524E-09
3.050000E+02   3.429438E+02   4.350000E+02   3.701471E+06   3.288346E+07   1.918455E+14   3.994193E+09   6.366316E+03   2.124048E+06   9.536802E-01   7.405325E+04   6.052221E-02   4.341913E-09
3.050000E+02   3.450000E+02   4.242328E+02   9.961714E+05   1.925894E+07   1.960834E+14   3.998447E+09   1.616310E+03   1.354112E+06   9.532920E-01   3.221421E+04   7.902769E-02   2.083726E-07
3.046964E+02   3.355654E+02   4.349691E+02   9.221012E+05   2.065196E+07   1.905905E+14   4.030927E+09   1.407358E+04   4.249337E+06   9.532842E-01   6.574666E+04   6.269080E-02   3.215484E-08
2.936082E+02   3.416888E+02   4.350000E+02   1.097145E+06   2.284309E+07   1.909210E+14   3.984947E+09   7.736977E+03   3.057016E+06   9.549171E-01   5.760585E+04   6.332497E-02   3.674662E-08
2.750000E+02   3.150000E+02   4.279999E+02   9.385970E+05   2.047040E+07   1.893631E+14   4.065199E+09   8.043537E+04   1.184492E+06   9.542934E-01   6.807474E+04   6.115609E-02   4.961948E-09
