hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
3.300034E+02   2.216097E+02   2.933404E+02   6.127213E+05   1.813062E+06   1.953585E+14   6.460720E+09   1.710263E+03   2.274751E+06   9.458587E-01   1.689495E+04   1.085014E-01   6.061899E-07
3.327702E+02   2.044027E+02   2.910467E+02   6.196215E+05   1.811426E+06   1.964648E+14   6.430057E+09   1.267962E+03   7.111853E+06   9.485390E-01   1.438995E+04   1.151396E-01   9.047357E-07
3.419030E+02   2.103668E+02   2.887252E+02   5.983323E+05   1.769799E+06   1.978993E+14   6.387865E+09   1.055791E+03   6.336114E+06   9.497840E-01   1.146527E+04   1.295463E-01   1.033934E-06
3.505566E+02   2.125758E+02   2.957763E+02   7.354603E+05   2.051840E+06   1.951736E+14   6.638897E+09   1.680717E+03   4.156037E+06   9.488614E-01   2.199414E+04   9.331407E-02   4.641589E-07
3.308216E+02   2.263435E+02   2.890890E+02   6.458865E+05   1.877520E+06   1.972545E+14   6.412815E+09   1.309174E+03   1.304233E+07   9.505785E-01   1.554712E+04   1.086384E-01   7.916819E-07
3.467607E+02   2.125191E+02   2.984094E+02   7.299681E+05   2.126499E+06   1.939186E+14   6.639606E+09   2.541259E+03   2.172719E+06   9.469592E-01   2.767318E+04   8.664929E-02   3.109952E-07
3.540223E+02   2.059430E+02   2.878077E+02   6.986100E+05   1.884545E+06   1.988557E+14   6.718289E+09   9.199524E+02   1.013012E+06   9.376806E-01   1.225622E+04   1.357879E-01   6.927551E-07
3.507697E+02   2.094027E+02   3.043652E+02   7.243100E+05   2.310874E+06   1.917032E+14   6.596362E+09   3.734898E+03   1.482158E+07   9.520253E-01   3.303864E+04   7.635848E-02   2.083726E-07
3.325513E+02   2.268382E+02   3.025278E+02   5.846931E+05   1.740600E+06   1.917084E+14   6.733518E+09   4.119156E+03   1.062510E+06   9.419853E-01   2.609764E+04   9.342659E-02   2.721339E-07
3.563443E+02   2.050949E+02   2.857811E+02   4.845916E+05   1.620347E+06   1.999302E+14   6.313840E+09   7.114185E+02   2.414318E+07   9.498617E-01   5.858395E+03   1.991921E-01   2.632024E-06
3.496812E+02   2.107918E+02   3.012578E+02   7.773440E+05   2.318573E+06   1.928841E+14   6.597062E+09   3.387213E+03   4.040861E+06   9.497342E-01   3.432005E+04   7.753937E-02   2.083726E-07
3.464060E+02   2.110028E+02   3.045454E+02   7.285606E+05   2.290665E+06   1.914507E+14   6.606428E+09   3.913481E+03   6.604120E+06   9.502400E-01   3.499523E+04   7.652917E-02   2.083726E-07
3.501669E+02   2.149814E+02   3.048011E+02   7.187799E+05   2.313826E+06   1.915078E+14   6.598965E+09   4.235702E+03   5.482245E+06   9.513903E-01   3.407466E+04   7.612476E-02   1.823348E-07
3.441991E+02   2.176561E+02   3.039825E+02   7.484259E+05   2.275972E+06   1.915987E+14   6.614926E+09   3.998983E+03   9.146352E+06   9.516617E-01   3.473007E+04   7.534927E-02   1.823348E-07
3.489532E+02   2.211943E+02   3.005024E+02   7.732637E+05   2.353798E+06   1.931442E+14   6.601146E+09   2.813535E+03   3.493324E+06   9.502790E-01   3.052911E+04   8.034367E-02   2.381286E-07
3.437115E+02   2.252783E+02   3.050000E+02   7.334084E+05   2.322640E+06   1.911734E+14   6.614960E+09   4.007906E+03   1.926112E+07   9.527555E-01   3.365228E+04   7.513975E-02   1.823348E-07
3.415376E+02   2.235002E+02   2.984600E+02   6.711686E+05   1.920302E+06   1.936818E+14   6.688918E+09   2.650934E+03   5.320657E+06   9.496972E-01   2.558941E+04   8.669994E-02   3.554059E-07
3.511137E+02   2.284838E+02   3.050000E+02   7.124089E+05   2.287979E+06   1.914570E+14   6.598550E+09   3.747213E+03   6.816313E+07   9.529729E-01   3.204939E+04   7.630250E-02   2.083726E-07
3.477307E+02   2.300000E+02   2.982902E+02   6.958000E+05   2.137639E+06   1.939957E+14   6.632106E+09   2.385168E+03   5.817064E+06   9.506114E-01   2.517852E+04   8.640356E-02   3.554059E-07
3.572839E+02   2.221809E+02   3.050000E+02   6.927905E+05   2.278737E+06   1.917005E+14   6.590036E+09   3.948898E+03   3.753795E+06   9.506791E-01   3.188489E+04   7.867416E-02   2.083726E-07
3.587835E+02   2.296573E+02   3.001055E+02   7.838192E+05   2.403571E+06   1.936946E+14   6.561604E+09   2.866970E+03   5.519046E+06   9.506381E-01   3.198056E+04   7.862747E-02   2.381286E-07
3.600000E+02   2.126429E+02   3.050000E+02   6.877303E+05   2.243219E+06   1.918046E+14   6.587808E+09   4.222686E+03   4.112250E+07   9.521207E-01   3.344760E+04   7.592399E-02   2.083726E-07
3.600000E+02   2.203677E+02   2.971386E+02   8.200134E+05   2.393976E+06   1.949744E+14   6.554629E+09   2.277554E+03   4.382686E+06   9.502539E-01   2.967517E+04   8.123445E-02   2.721339E-07
3.588715E+02   2.028670E+02   3.046629E+02   6.977846E+05   2.259077E+06   1.918980E+14   6.585668E+09   3.612829E+03   4.945881E+06   9.502315E-01   3.186110E+04   7.912947E-02   2.381286E-07
3.493978E+02   2.000000E+02   3.029704E+02   7.567890E+05   2.306566E+06   1.921944E+14   6.595154E+09   3.435862E+03   4.835539E+06   9.506948E-01   3.308862E+04   7.760718E-02   2.083726E-07
3.600000E+02   2.292797E+02   2.902200E+02   7.229062E+05   1.992394E+06   1.980207E+14   6.610419E+09   1.154020E+03   4.772900E+06   9.488082E-01   1.654958E+04   1.068253E-01   6.927551E-07
3.413054E+02   2.024599E+02   3.050000E+02   7.324307E+05   2.300468E+06   1.911029E+14   6.625495E+09   4.789445E+03   5.325138E+06   9.509436E-01   3.675291E+04   7.458151E-02   1.595506E-07
3.368121E+02   2.104668E+02   3.050000E+02   6.873102E+05   2.106579E+06   1.909233E+14   6.654362E+09   4.754257E+03   4.622479E+06   9.504975E-01   3.435386E+04   7.677154E-02   1.823348E-07
3.330238E+02   2.004250E+02   3.047078E+02   6.017989E+05   1.837201E+06   1.908947E+14   6.698501E+09   4.460321E+03   6.178282E+05   9.380007E-01   2.609494E+04   9.726495E-02   2.083726E-07
3.362693E+02   2.182625E+02   3.050000E+02   6.727187E+05   2.068523E+06   1.908973E+14   6.661178E+09   4.499087E+03   3.046987E+07   9.516217E-01   3.366697E+04   7.622840E-02   2.083726E-07
3.443894E+02   2.000000E+02   2.973771E+02   6.916806E+05   1.950522E+06   1.942561E+14   6.676696E+09   2.632000E+03   6.816300E+06   9.494071E-01   2.696499E+04   8.515689E-02   3.554059E-07
3.302668E+02   2.136600E+02   3.049642E+02   5.762253E+05   1.746510E+06   1.906922E+14   6.718445E+09   4.912957E+03   2.603367E+06   9.488420E-01   2.815682E+04   8.426512E-02   2.381286E-07
3.539020E+02   2.039884E+02   2.983916E+02   7.983713E+05   2.327226E+06   1.942189E+14   6.582364E+09   2.503874E+03   9.439512E+06   9.507412E-01   3.087203E+04   7.956152E-02   2.721339E-07
3.452737E+02   2.300000E+02   2.850000E+02   6.103754E+05   1.828133E+06   1.998411E+14   6.335676E+09   8.438548E+02   1.517026E+08   9.524923E-01   1.002723E+04   1.379152E-01   1.350314E-06
3.585677E+02   2.105566E+02   2.986935E+02   8.031385E+05   2.404908E+06   1.942664E+14   6.561422E+09   2.203842E+03   2.671569E+06   9.498732E-01   2.769066E+04   8.381778E-02   2.721339E-07
3.397803E+02   2.300000E+02   3.050000E+02   7.243630E+05   2.247249E+06   1.910293E+14   6.634247E+09   3.925648E+03   2.239244E+07   9.513413E-01   3.463858E+04   7.573082E-02   2.083726E-07
3.457717E+02   2.054447E+02   3.007986E+02   7.401991E+05   2.187131E+06   1.929137E+14   6.627625E+09   3.264879E+03   8.680238E+06   9.508842E-01   3.201700E+04   7.835618E-02   2.381286E-07
3.600000E+02   2.300000E+02   3.050000E+02   6.863802E+05   2.268441E+06   1.917938E+14   6.587140E+09   3.492209E+03   8.539872E+06   9.521490E-01   2.985201E+04   7.921828E-02   2.381286E-07
3.597825E+02   2.002261E+02   2.986036E+02   8.057160E+05   2.421943E+06   1.943621E+14   6.554341E+09   2.152550E+03   3.028946E+07   9.514887E-01   2.909851E+04   8.065472E-02   3.109952E-07
3.502398E+02   2.000000E+02   2.938366E+02   5.590766E+05   1.577329E+06   1.959767E+14   6.661321E+09   1.909013E+03   3.477040E+06   9.468278E-01   1.605235E+04   1.103563E-01   6.927551E-07
3.375964E+02   2.144998E+02   2.999729E+02   6.322857E+05   1.799468E+06   1.929207E+14   6.713545E+09   3.181272E+03   7.196593E+05   9.383790E-01   2.363349E+04   1.004982E-01   2.721339E-07
3.560682E+02   2.166578E+02   3.017177E+02   7.576159E+05   2.348358E+06   1.929401E+14   6.572265E+09   2.928226E+03   1.242066E+07   9.522895E-01   3.051012E+04   7.841676E-02   2.381286E-07
3.547487E+02   2.241862E+02   2.995514E+02   7.942866E+05   2.407819E+06   1.937696E+14   6.573787E+09   2.190062E+03   3.979502E+06   9.515149E-01   2.698875E+04   8.309588E-02   2.721339E-07
3.454336E+02   2.299687E+02   3.046398E+02   7.378262E+05   2.344332E+06   1.913824E+14   6.610942E+09   4.575154E+03   1.579089E+07   9.525305E-01   3.573036E+04   7.375876E-02   1.595506E-07
3.528543E+02   2.040133E+02   3.049828E+02   7.044725E+05   2.283123E+06   1.915447E+14   6.596020E+09   3.938749E+03   8.624926E+06   9.515910E-01   3.290878E+04   7.689013E-02   2.083726E-07
3.300000E+02   2.206612E+02   3.050000E+02   5.732963E+05   1.719745E+06   1.906649E+14   6.720565E+09   5.613051E+03   5.244754E+07   9.511044E-01   3.167847E+04   7.845037E-02   2.381286E-07
3.381226E+02   2.235501E+02   3.050000E+02   7.092743E+05   2.196776E+06   1.909694E+14   6.643438E+09   4.672406E+03   6.516780E+06   9.503784E-01   3.626869E+04   7.546752E-02   1.823348E-07
3.449380E+02   2.000000E+02   3.050000E+02   7.048910E+05   2.259389E+06   1.912307E+14   6.612358E+09   4.885007E+03   7.074539E+06   9.522380E-01   3.457173E+04   7.491128E-02   1.595506E-07
3.495839E+02   2.217157E+02   3.049578E+02   7.117924E+05   2.342805E+06   1.914190E+14   6.600284E+09   4.216786E+03   7.929602E+07   9.532645E-01   3.336904E+04   7.487898E-02   1.823348E-07
3.404157E+02   2.300000E+02   2.995626E+02   1.955648E+06   1.027395E+07   1.931845E+14   6.504592E+09   2.821780E+03   2.037740E+06   9.543021E-01   5.588496E+04   6.262222E-02   3.215484E-08
3.363978E+02   2.298172E+02   2.969607E+02   5.377691E+05   1.667648E+06   1.941066E+14   6.490211E+09   2.442611E+03   6.936860E+06   9.494021E-01   1.844469E+04   1.007003E-01   6.061899E-07
3.428439E+02   2.300000E+02   3.011045E+02   7.077684E+05   2.063048E+06   1.926668E+14   6.648090E+09   3.025281E+03   3.119105E+06   9.489826E-01   2.891450E+04   8.327669E-02   2.721339E-07
3.600000E+02   2.201107E+02   2.850000E+02   7.529159E+05   1.956876E+06   2.004751E+14   6.692693E+09   7.906590E+02   1.046965E+06   9.386928E-01   1.219093E+04   1.352330E-01   6.927551E-07
3.304500E+02   2.132338E+02   2.850304E+02   6.654248E+05   1.952053E+06   1.990925E+14   6.365897E+09   9.608825E+02   8.537077E+06   9.491313E-01   1.293170E+04   1.214984E-01   1.033934E-06
