hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
2.050034E+02   3.466097E+02   4.625107E+02   3.402246E+05   9.687714E+06   1.989589E+14   5.345334E+09   6.203848E+04   5.950250E+07   9.649503E-01   1.740331E+04   3.930535E-02   1.443512E-08
2.077702E+02   3.294027E+02   4.590700E+02   3.359131E+05   9.468666E+06   1.988007E+14   5.422701E+09   7.053803E+04   1.286213E+07   9.649829E-01   1.698127E+04   3.937843E-02   1.263134E-08
2.169030E+02   3.353668E+02   4.555878E+02   3.455841E+05   8.976107E+06   2.004767E+14   5.391299E+09   1.116113E+05   4.593350E+07   9.651646E-01   1.680671E+04   3.924277E-02   7.405685E-09
2.255566E+02   3.375758E+02   4.661645E+02   3.191808E+05   8.995961E+06   1.978392E+14   5.346459E+09   9.093049E+04   3.635832E+07   9.649614E-01   1.739639E+04   3.929608E-02   1.105295E-08
2.058216E+02   3.513435E+02   4.561336E+02   3.551920E+05   9.385868E+06   2.012388E+14   5.332002E+09   4.077682E+04   2.552006E+08   9.647382E-01   1.780613E+04   3.942049E-02   2.154435E-08
2.217607E+02   3.375191E+02   4.701140E+02   3.117685E+05   8.825747E+06   1.966579E+14   5.344230E+09   6.942798E+04   3.520667E+08   9.651675E-01   1.638311E+04   3.935364E-02   1.443512E-08
2.290223E+02   3.309430E+02   4.542116E+02   3.367894E+05   8.951428E+06   2.008881E+14   5.391726E+09   7.561206E+04   3.192396E+07   9.647871E-01   1.799533E+04   3.932818E-02   1.263134E-08
2.257697E+02   3.344027E+02   4.790478E+02   2.906374E+05   9.052317E+06   1.941648E+14   5.326226E+09   1.816782E+04   4.547385E+07   9.651214E-01   1.368736E+04   4.028733E-02   6.267603E-08
2.075513E+02   3.518382E+02   4.762917E+02   3.171937E+05   9.338753E+06   1.955774E+14   5.292782E+09   8.294467E+04   4.758305E+06   9.645426E-01   1.806913E+04   3.955492E-02   1.263134E-08
2.313443E+02   3.300949E+02   4.511716E+02   2.974970E+05   8.652335E+06   2.017639E+14   5.397101E+09   5.273506E+03   1.521757E+07   9.649588E-01   8.830425E+03   4.341059E-02   2.083726E-07
2.077084E+02   3.295709E+02   4.587821E+02   3.382673E+05   9.467160E+06   1.988768E+14   5.422294E+09   5.280852E+04   9.104895E+07   9.651103E-01   1.656106E+04   3.936207E-02   1.649648E-08
2.274738E+02   3.305191E+02   4.569827E+02   3.340547E+05   8.661170E+06   1.999982E+14   5.391394E+09   9.806199E+04   4.759318E+08   9.649075E-01   1.781403E+04   3.925010E-02   9.671799E-09
2.264887E+02   3.334617E+02   4.546684E+02   3.396065E+05   8.693958E+06   2.008874E+14   5.385567E+09   9.687717E+04   3.803766E+07   9.648051E-01   1.811541E+04   3.928303E-02   9.671799E-09
2.298026E+02   3.328831E+02   4.570529E+02   3.332231E+05   8.506927E+06   2.002509E+14   5.377689E+09   9.927488E+04   2.617018E+07   9.648295E-01   1.788427E+04   3.931151E-02   9.671799E-09
2.209262E+02   3.326422E+02   4.555337E+02   3.368637E+05   8.970581E+06   2.004044E+14   5.396161E+09   9.771647E+04   3.351373E+07   9.648226E-01   1.808634E+04   3.927221E-02   9.671799E-09
2.210482E+02   3.367856E+02   4.545912E+02   3.426133E+05   8.659619E+06   2.010096E+14   5.381989E+09   8.369250E+04   1.427382E+07   9.647223E-01   1.807811E+04   3.937389E-02   1.105295E-08
2.192261E+02   3.345429E+02   4.590883E+02   3.349810E+05   9.479813E+06   1.994824E+14   5.382438E+09   8.532997E+04   2.387059E+07   9.648431E-01   1.793411E+04   3.928645E-02   1.105295E-08
2.236956E+02   3.348471E+02   4.592759E+02   3.313667E+05   9.148977E+06   1.995659E+14   5.375388E+09   1.060833E+05   6.715116E+06   9.649794E-01   1.682084E+04   3.942343E-02   8.463232E-09
2.158159E+02   3.311047E+02   4.576327E+02   3.399014E+05   9.053320E+06   1.995618E+14   5.407360E+09   7.669620E+04   1.639631E+08   9.651983E-01   1.650986E+04   3.928829E-02   1.105295E-08
2.144542E+02   3.356621E+02   4.594506E+02   3.346682E+05   9.880846E+06   1.993234E+14   5.386162E+09   9.391845E+04   5.507446E+06   9.648206E-01   1.743279E+04   3.942735E-02   9.671799E-09
2.204110E+02   3.297784E+02   4.589174E+02   3.322663E+05   8.929753E+06   1.992052E+14   5.401416E+09   7.343209E+04   5.624774E+06   9.647667E-01   1.715121E+04   3.955056E-02   1.263134E-08
