alpha(deg)	e12
0.0	(2.517789e-06-1.20149e-08j)
1.0	(6.076375e-07+6.124424e-09j)
2.0	(-1.303254e-06+2.425628e-08j)
3.0	(-3.212558e-06+4.235859e-08j)
4.0	(-5.117947e-06+6.040929e-08j)
5.0	(-7.017101e-06+7.838639e-08j)
6.0	(-8.907706e-06+9.626799e-08j)
7.0	(-1.078746e-05+1.140323e-07j)
8.0	(-1.265407e-05+1.316577e-07j)
9.0	(-1.450526e-05+1.491227e-07j)
10.0	(-1.633878e-05+1.66406e-07j)
11.0	(-1.815239e-05+1.834865e-07j)
12.0	(-1.994389e-05+2.003435e-07j)
13.0	(-2.171109e-05+2.169564e-07j)
14.0	(-2.345184e-05+2.33305e-07j)
15.0	(-2.516401e-05+2.493694e-07j)
16.0	(-2.684553e-05+2.651299e-07j)
17.0	(-2.849434e-05+2.805674e-07j)
18.0	(-3.010843e-05+2.956631e-07j)
19.0	(-3.168584e-05+3.103985e-07j)
20.0	(-3.322465e-05+3.247558e-07j)
21.0	(-3.472298e-05+3.387174e-07j)
22.0	(-3.6179e-05+3.522663e-07j)
23.0	(-3.759095e-05+3.653861e-07j)
24.0	(-3.895709e-05+3.780607e-07j)
25.0	(-4.027577e-05+3.902747e-07j)
26.0	(-4.154539e-05+4.020132e-07j)
27.0	(-4.276438e-05+4.132619e-07j)
28.0	(-4.393128e-05+4.240071e-07j)
29.0	(-4.504465e-05+4.342357e-07j)
30.0	(-4.610314e-05+4.439353e-07j)
31.0	(-4.710546e-05+4.53094e-07j)
32.0	(-4.805039e-05+4.617007e-07j)
33.0	(-4.893678e-05+4.697448e-07j)
34.0	(-4.976355e-05+4.772167e-07j)
35.0	(-5.052968e-05+4.841071e-07j)
36.0	(-5.123426e-05+4.904078e-07j)
37.0	(-5.187641e-05+4.961109e-07j)
38.0	(-5.245536e-05+5.012096e-07j)
39.0	(-5.29704e-05+5.056977e-07j)
40.0	(-5.342091e-05+5.095696e-07j)
41.0	(-5.380633e-05+5.128207e-07j)
42.0	(-5.412619e-05+5.154471e-07j)
43.0	(-5.438011e-05+5.174454e-07j)
44.0	(-5.456778e-05+5.188133e-07j)
45.0	(-5.468897e-05+5.195491e-07j)
46.0	(-5.474352e-05+5.196519e-07j)
47.0	(-5.473138e-05+5.191216e-07j)
48.0	(-5.465255e-05+5.179589e-07j)
49.0	(-5.450714e-05+5.16165e-07j)
50.0	(-5.429533e-05+5.137424e-07j)
51.0	(-5.401736e-05+5.106938e-07j)
52.0	(-5.367358e-05+5.07023e-07j)
53.0	(-5.32644e-05+5.027344e-07j)
54.0	(-5.279034e-05+4.978334e-07j)
55.0	(-5.225195e-05+4.923258e-07j)
56.0	(-5.164991e-05+4.862184e-07j)
57.0	(-5.098493e-05+4.795186e-07j)
58.0	(-5.025784e-05+4.722346e-07j)
59.0	(-4.946952e-05+4.643753e-07j)
60.0	(-4.862093e-05+4.559502e-07j)
61.0	(-4.77131e-05+4.469696e-07j)
62.0	(-4.674714e-05+4.374444e-07j)
63.0	(-4.572422e-05+4.273862e-07j)
64.0	(-4.46456e-05+4.168074e-07j)
65.0	(-4.351258e-05+4.057207e-07j)
66.0	(-4.232655e-05+3.941398e-07j)
67.0	(-4.108895e-05+3.820786e-07j)
68.0	(-3.980129e-05+3.695519e-07j)
69.0	(-3.846514e-05+3.56575e-07j)
70.0	(-3.708213e-05+3.431637e-07j)
71.0	(-3.565393e-05+3.293342e-07j)
72.0	(-3.41823e-05+3.151036e-07j)
73.0	(-3.266902e-05+3.00489e-07j)
74.0	(-3.111594e-05+2.855083e-07j)
75.0	(-2.952495e-05+2.701798e-07j)
76.0	(-2.789799e-05+2.545221e-07j)
77.0	(-2.623704e-05+2.385543e-07j)
78.0	(-2.454412e-05+2.222958e-07j)
79.0	(-2.28213e-05+2.057665e-07j)
80.0	(-2.107068e-05+1.889866e-07j)
81.0	(-1.929438e-05+1.719764e-07j)
82.0	(-1.749458e-05+1.547566e-07j)
83.0	(-1.567346e-05+1.373483e-07j)
84.0	(-1.383324e-05+1.197727e-07j)
85.0	(-1.197618e-05+1.020511e-07j)
86.0	(-1.010452e-05+8.420523e-08j)
87.0	(-8.220549e-06+6.625675e-08j)
88.0	(-6.326565e-06+4.822754e-08j)
89.0	(-4.424872e-06+3.013958e-08j)
90.0	(-2.517789e-06+1.20149e-08j)
91.0	(-6.076375e-07-6.124424e-09j)
92.0	(1.303254e-06-2.425628e-08j)
93.0	(3.212558e-06-4.235859e-08j)
94.0	(5.117947e-06-6.040929e-08j)
95.0	(7.017101e-06-7.838639e-08j)
96.0	(8.907706e-06-9.626799e-08j)
97.0	(1.078746e-05-1.140323e-07j)
98.0	(1.265407e-05-1.316577e-07j)
99.0	(1.450526e-05-1.491227e-07j)
100.0	(1.633878e-05-1.66406e-07j)
101.0	(1.815239e-05-1.834865e-07j)
102.0	(1.994389e-05-2.003435e-07j)
103.0	(2.171109e-05-2.169564e-07j)
104.0	(2.345184e-05-2.33305e-07j)
105.0	(2.516401e-05-2.493694e-07j)
106.0	(2.684553e-05-2.651299e-07j)
107.0	(2.849434e-05-2.805674e-07j)
108.0	(3.010843e-05-2.956631e-07j)
109.0	(3.168584e-05-3.103985e-07j)
110.0	(3.322465e-05-3.247558e-07j)
111.0	(3.472298e-05-3.387174e-07j)
112.0	(3.6179e-05-3.522663e-07j)
113.0	(3.759095e-05-3.653861e-07j)
114.0	(3.895709e-05-3.780607e-07j)
115.0	(4.027577e-05-3.902747e-07j)
116.0	(4.154539e-05-4.020132e-07j)
117.0	(4.276438e-05-4.132619e-07j)
118.0	(4.393128e-05-4.240071e-07j)
119.0	(4.504465e-05-4.342357e-07j)
120.0	(4.610314e-05-4.439353e-07j)
121.0	(4.710546e-05-4.53094e-07j)
122.0	(4.805039e-05-4.617007e-07j)
123.0	(4.893678e-05-4.697448e-07j)
124.0	(4.976355e-05-4.772167e-07j)
125.0	(5.052968e-05-4.841071e-07j)
126.0	(5.123426e-05-4.904078e-07j)
127.0	(5.187641e-05-4.961109e-07j)
128.0	(5.245536e-05-5.012096e-07j)
129.0	(5.29704e-05-5.056977e-07j)
130.0	(5.342091e-05-5.095696e-07j)
131.0	(5.380633e-05-5.128207e-07j)
132.0	(5.412619e-05-5.154471e-07j)
133.0	(5.438011e-05-5.174454e-07j)
134.0	(5.456778e-05-5.188133e-07j)
135.0	(5.468897e-05-5.195491e-07j)
136.0	(5.474352e-05-5.196519e-07j)
137.0	(5.473138e-05-5.191216e-07j)
138.0	(5.465255e-05-5.179589e-07j)
139.0	(5.450714e-05-5.16165e-07j)
140.0	(5.429533e-05-5.137424e-07j)
141.0	(5.401736e-05-5.106938e-07j)
142.0	(5.367358e-05-5.07023e-07j)
143.0	(5.32644e-05-5.027344e-07j)
144.0	(5.279034e-05-4.978334e-07j)
145.0	(5.225195e-05-4.923258e-07j)
146.0	(5.164991e-05-4.862184e-07j)
147.0	(5.098493e-05-4.795186e-07j)
148.0	(5.025784e-05-4.722346e-07j)
149.0	(4.946952e-05-4.643753e-07j)
150.0	(4.862093e-05-4.559502e-07j)
151.0	(4.77131e-05-4.469696e-07j)
152.0	(4.674714e-05-4.374444e-07j)
153.0	(4.572422e-05-4.273862e-07j)
154.0	(4.46456e-05-4.168074e-07j)
155.0	(4.351258e-05-4.057207e-07j)
156.0	(4.232655e-05-3.941398e-07j)
157.0	(4.108895e-05-3.820786e-07j)
158.0	(3.980129e-05-3.695519e-07j)
159.0	(3.846514e-05-3.56575e-07j)
160.0	(3.708213e-05-3.431637e-07j)
161.0	(3.565393e-05-3.293342e-07j)
162.0	(3.41823e-05-3.151036e-07j)
163.0	(3.266902e-05-3.00489e-07j)
164.0	(3.111594e-05-2.855083e-07j)
165.0	(2.952495e-05-2.701798e-07j)
166.0	(2.789799e-05-2.545221e-07j)
167.0	(2.623704e-05-2.385543e-07j)
168.0	(2.454412e-05-2.222958e-07j)
169.0	(2.28213e-05-2.057665e-07j)
170.0	(2.107068e-05-1.889866e-07j)
171.0	(1.929438e-05-1.719763e-07j)
172.0	(1.749458e-05-1.547566e-07j)
173.0	(1.567346e-05-1.373483e-07j)
174.0	(1.383324e-05-1.197727e-07j)
175.0	(1.197618e-05-1.020511e-07j)
176.0	(1.010452e-05-8.420523e-08j)
177.0	(8.220549e-06-6.625675e-08j)
178.0	(6.326565e-06-4.822754e-08j)
179.0	(4.424872e-06-3.013958e-08j)
180.0	(2.517789e-06-1.20149e-08j)
