alpha(deg)	g_mb/2pi(Hz)
0.0	85825.5
1.0	85825.5
2.0	85825.5
3.0	85825.5
4.0	85825.5
5.0	85825.5
6.0	85825.5
7.0	85825.5
8.0	85825.5
9.0	85825.5
10.0	85825.5
11.0	85825.5
12.0	85825.5
13.0	85825.5
14.0	85825.5
15.0	85825.5
16.0	85825.5
17.0	85825.5
18.0	85825.5
19.0	85825.5
20.0	85825.5
21.0	85825.5
22.0	85825.5
23.0	85825.5
24.0	85825.5
25.0	85825.5
26.0	85825.5
27.0	85825.5
28.0	85825.5
29.0	85825.5
30.0	85825.5
31.0	85825.5
32.0	85825.5
33.0	85825.5
34.0	85825.5
35.0	85825.5
36.0	85825.5
37.0	85825.5
38.0	85825.5
39.0	85825.5
40.0	85825.5
41.0	85825.5
42.0	85825.5
43.0	85825.5
44.0	85825.5
45.0	85825.5
46.0	85825.5
47.0	85825.5
48.0	85825.5
49.0	85825.5
50.0	85825.5
51.0	85825.5
52.0	85825.5
53.0	85825.5
54.0	85825.5
55.0	85825.5
56.0	85825.5
57.0	85825.5
58.0	85825.5
59.0	85825.5
60.0	85825.5
61.0	85825.5
62.0	85825.5
63.0	85825.5
64.0	85825.5
65.0	85825.5
66.0	85825.5
67.0	85825.5
68.0	85825.5
69.0	85825.5
70.0	85825.5
71.0	85825.5
72.0	85825.5
73.0	85825.5
74.0	85825.5
75.0	85825.5
76.0	85825.5
77.0	85825.5
78.0	85825.5
79.0	85825.5
80.0	85825.5
81.0	85825.5
82.0	85825.5
83.0	85825.5
84.0	85825.5
85.0	85825.5
86.0	85825.5
87.0	85825.5
88.0	85825.5
89.0	85825.5
90.0	85825.5
91.0	85825.5
92.0	85825.5
93.0	85825.5
94.0	85825.5
95.0	85825.5
96.0	85825.5
97.0	85825.5
98.0	85825.5
99.0	85825.5
100.0	85825.5
101.0	85825.5
102.0	85825.5
103.0	85825.5
104.0	85825.5
105.0	85825.5
106.0	85825.5
107.0	85825.5
108.0	85825.5
109.0	85825.5
110.0	85825.5
111.0	85825.5
112.0	85825.5
113.0	85825.5
114.0	85825.5
115.0	85825.5
116.0	85825.5
117.0	85825.5
118.0	85825.5
119.0	85825.5
120.0	85825.5
121.0	85825.5
122.0	85825.5
123.0	85825.5
124.0	85825.5
125.0	85825.5
126.0	85825.5
127.0	85825.5
128.0	85825.5
129.0	85825.5
130.0	85825.5
131.0	85825.5
132.0	85825.5
133.0	85825.5
134.0	85825.5
135.0	85825.5
136.0	85825.5
137.0	85825.5
138.0	85825.5
139.0	85825.5
140.0	85825.5
141.0	85825.5
142.0	85825.5
143.0	85825.5
144.0	85825.5
145.0	85825.5
146.0	85825.5
147.0	85825.5
148.0	85825.5
149.0	85825.5
150.0	85825.5
151.0	85825.5
152.0	85825.5
153.0	85825.5
154.0	85825.5
155.0	85825.5
156.0	85825.5
157.0	85825.5
158.0	85825.5
159.0	85825.5
160.0	85825.5
161.0	85825.5
162.0	85825.5
163.0	85825.5
164.0	85825.5
165.0	85825.5
166.0	85825.5
167.0	85825.5
168.0	85825.5
169.0	85825.5
170.0	85825.5
171.0	85825.5
172.0	85825.5
173.0	85825.5
174.0	85825.5
175.0	85825.5
176.0	85825.5
177.0	85825.5
178.0	85825.5
179.0	85825.5
180.0	85825.5
