alpha(deg)	g_om/2pi(Hz)
0.0	321595.7132136335
1.0	321616.81394875055
2.0	321681.31650140183
3.0	321788.92086507886
4.0	321939.0270267328
5.0	322131.03494552843
6.0	322363.94458347163
7.0	322636.5559005452
8.0	322947.76883343444
9.0	323295.7833359298
10.0	323679.09931964544
11.0	324095.7167153822
12.0	324543.73543753463
13.0	325020.855403268
14.0	325524.7765087367
15.0	326053.19865002844
16.0	326603.32172141346
17.0	327172.545619191
18.0	327758.170213971
19.0	328357.2953951901
20.0	328966.9210406055
21.0	329584.2470229083
22.0	330206.0732245372
23.0	330829.499499272
24.0	331451.5257313577
25.0	332068.951795801
26.0	332678.9775575397
27.0	333278.4028983727
28.0	333864.5276875389
29.0	334434.35180162656
30.0	334985.075133341
31.0	335514.19756074046
32.0	336018.91897637816
33.0	336496.9392743886
34.0	336945.9583559386
35.0	337363.57612467924
36.0	337747.99249753245
37.0	338097.20738935895
38.0	338409.520728771
39.0	338683.43245357345
40.0	338917.6425036787
41.0	339110.95083073515
42.0	339262.457385997
43.0	339371.3621466825
44.0	339437.1650896342
45.0	339459.6661913182
46.0	339438.5654592348
47.0	339374.0628812597
48.0	339266.5584829422
49.0	339116.35227823973
50.0	338924.34430867917
51.0	338691.4345945672
52.0	338418.8231984292
53.0	338107.71017574816
54.0	337759.5955886974
55.0	337376.3795036209
56.0	336959.66200152854
57.0	336511.7431742028
58.0	336034.5231163727
59.0	335530.6019122797
60.0	335002.2796748993
61.0	334452.156509636
62.0	333882.83254303486
63.0	333297.2078728665
64.0	332698.1826321457
65.0	332088.456944625
66.0	331471.2309285574
67.0	330849.30471906735
68.0	330225.8784341683
69.0	329603.95221078675
70.0	328986.426174097
71.0	328376.5004487547
72.0	327776.9751691496
73.0	327190.9504410765
74.0	326621.1263941085
75.0	326070.30314820673
76.0	325541.1808116663
77.0	325036.45949270035
78.0	324558.43929524557
79.0	324109.42031617544
80.0	323691.8026498777
81.0	323307.386377415
82.0	322958.171581947
83.0	322645.85833300994
84.0	322371.94669108506
85.0	322137.83671216
86.0	321944.528455037
87.0	321793.0219437212
88.0	321684.0172235507
89.0	321618.2143051006
90.0	321595.7132136335
91.0	321616.81394875055
92.0	321681.31650140183
93.0	321788.92086507886
94.0	321939.0270267328
95.0	322131.03494552843
96.0	322363.94458347163
97.0	322636.5559005452
98.0	322947.76883343444
99.0	323295.7833359298
100.0	323679.09931964544
101.0	324095.7167153822
102.0	324543.73543753463
103.0	325020.855403268
104.0	325524.7765087367
105.0	326053.19865002844
106.0	326603.32172141346
107.0	327172.545619191
108.0	327758.170213971
109.0	328357.2953951901
110.0	328966.9210406055
111.0	329584.2470229083
112.0	330206.0732245372
113.0	330829.499499272
114.0	331451.5257313577
115.0	332068.951795801
116.0	332678.9775575397
117.0	333278.4028983727
118.0	333864.5276875389
119.0	334434.35180162656
120.0	334985.075133341
121.0	335514.19756074046
122.0	336018.91897637816
123.0	336496.9392743886
124.0	336945.9583559386
125.0	337363.57612467924
126.0	337747.99249753245
127.0	338097.20738935895
128.0	338409.520728771
129.0	338683.43245357345
130.0	338917.6425036787
131.0	339110.95083073515
132.0	339262.457385997
133.0	339371.3621466825
134.0	339437.1650896342
135.0	339459.6661913182
136.0	339438.5654592348
137.0	339374.0628812597
138.0	339266.5584829422
139.0	339116.35227823973
140.0	338924.34430867917
141.0	338691.4345945672
142.0	338418.8231984292
143.0	338107.71017574816
144.0	337759.5955886974
145.0	337376.3795036209
146.0	336959.66200152854
147.0	336511.7431742028
148.0	336034.5231163727
149.0	335530.6019122797
150.0	335002.2796748993
151.0	334452.156509636
152.0	333882.83254303486
153.0	333297.2078728665
154.0	332698.1826321457
155.0	332088.456944625
156.0	331471.2309285574
157.0	330849.30471906735
158.0	330225.8784341683
159.0	329603.95221078675
160.0	328986.426174097
161.0	328376.5004487547
162.0	327776.9751691496
163.0	327190.9504410765
164.0	326621.1263941085
165.0	326070.30314820673
166.0	325541.1808116663
167.0	325036.45949270035
168.0	324558.43929524557
169.0	324109.42031617544
170.0	323691.8026498777
171.0	323307.386377415
172.0	322958.171581947
173.0	322645.85833300994
174.0	322371.94669108506
175.0	322137.83671216
176.0	321944.528455037
177.0	321793.0219437212
178.0	321684.0172235507
179.0	321618.2143051006
180.0	321595.7132136335
