alpha(deg)	g_pe/2pi(Hz)
0.0	235773.05737665534
1.0	235794.15812482548
2.0	235858.66082852465
3.0	235966.16548681725
4.0	236116.37207523204
5.0	236308.3805583866
6.0	236541.29089139088
7.0	236813.90303340644
8.0	237125.11691055293
9.0	237473.13248058705
10.0	237856.44964017035
11.0	238273.0683180692
12.0	238721.08841951625
13.0	239198.209858314
14.0	239702.13251974413
15.0	240230.45629360757
16.0	240780.68105521076
17.0	241349.90670744333
18.0	241935.53310161037
19.0	242534.6601215878
20.0	243144.28763675693
21.0	243761.61550746133
22.0	244383.44361212032
23.0	245006.87178707632
24.0	245628.89991121748
25.0	246246.32785345658
26.0	246856.35546463047
27.0	247455.78262315883
28.0	248041.9091848662
29.0	248611.7350191341
30.0	249162.46001482662
31.0	249691.58403774365
32.0	250196.30697674927
33.0	250674.3287171257
34.0	251123.3491536618
35.0	251540.96818566602
36.0	251925.38572335904
37.0	252274.60167649304
38.0	252586.9159697835
39.0	252860.82853792168
40.0	253095.0393160667
41.0	253288.348253873
42.0	253439.85529694302
43.0	253548.76042439003
44.0	253614.5636112752
45.0	253637.06482860743
46.0	253615.96408994688
47.0	253551.4613767454
48.0	253443.9567184619
49.0	253293.75013005995
50.0	253101.74165642972
51.0	252868.83131393636
52.0	252596.21917194186
53.0	252285.10529029986
54.0	251936.98973431924
55.0	251553.77257024238
56.0	251137.05388738314
57.0	250689.13378144376
58.0	250211.91235670215
59.0	249707.98969529726
60.0	249179.66592145807
61.0	248629.54114585032
62.0	248060.21550766708
63.0	247474.5891040103
64.0	246875.56207952736
65.0	246265.83456889025
66.0	245648.60669367338
67.0	245026.67860304585
68.0	244403.250418582
69.0	243781.22229443892
70.0	243163.79435219092
71.0	242553.866736486
72.0	241954.3395919719
73.0	241368.31302572618
74.0	240798.48718193025
75.0	240247.66219073482
76.0	239718.53816779383
77.0	239213.81522876112
78.0	238735.7934883574
79.0	238286.77305179424
80.0	237869.15401976212
81.0	237484.7364820424
82.0	237135.52052888306
83.0	236823.2062355688
84.0	236549.2936674084
85.0	236315.18288472333
86.0	236121.87395640867
87.0	235970.36690381748
88.0	235861.36178088107
89.0	235795.55859398964
90.0	235773.05737665534
91.0	235794.15812482548
92.0	235858.66082852465
93.0	235966.16548681725
94.0	236116.37207523204
95.0	236308.3805583866
96.0	236541.29089139088
97.0	236813.90303340644
98.0	237125.11691055293
99.0	237473.13248058705
100.0	237856.44964017035
101.0	238273.0683180692
102.0	238721.08841951625
103.0	239198.209858314
104.0	239702.13251974413
105.0	240230.45629360757
106.0	240780.68105521076
107.0	241349.90670744333
108.0	241935.53310161037
109.0	242534.6601215878
110.0	243144.28763675693
111.0	243761.61550746133
112.0	244383.44361212032
113.0	245006.87178707632
114.0	245628.89991121748
115.0	246246.32785345658
116.0	246856.35546463047
117.0	247455.78262315883
118.0	248041.9091848662
119.0	248611.7350191341
120.0	249162.46001482662
121.0	249691.58403774365
122.0	250196.30697674927
123.0	250674.3287171257
124.0	251123.3491536618
125.0	251540.96818566602
126.0	251925.38572335904
127.0	252274.60167649304
128.0	252586.9159697835
129.0	252860.82853792168
130.0	253095.0393160667
131.0	253288.348253873
132.0	253439.85529694302
133.0	253548.76042439003
134.0	253614.5636112752
135.0	253637.06482860743
136.0	253615.96408994688
137.0	253551.4613767454
138.0	253443.9567184619
139.0	253293.75013005995
140.0	253101.74165642972
141.0	252868.83131393636
142.0	252596.21917194186
143.0	252285.10529029986
144.0	251936.98973431924
145.0	251553.77257024238
146.0	251137.05388738314
147.0	250689.13378144376
148.0	250211.91235670215
149.0	249707.98969529726
150.0	249179.66592145807
151.0	248629.54114585032
152.0	248060.21550766708
153.0	247474.5891040103
154.0	246875.56207952736
155.0	246265.83456889025
156.0	245648.60669367338
157.0	245026.67860304585
158.0	244403.250418582
159.0	243781.22229443892
160.0	243163.79435219092
161.0	242553.866736486
162.0	241954.3395919719
163.0	241368.31302572618
164.0	240798.48718193025
165.0	240247.66219073482
166.0	239718.53816779383
167.0	239213.81522876112
168.0	238735.7934883574
169.0	238286.77305179424
170.0	237869.15401976212
171.0	237484.7364820424
172.0	237135.52052888306
173.0	236823.2062355688
174.0	236549.2936674084
175.0	236315.18288472333
176.0	236121.87395640867
177.0	235970.36690381748
178.0	235861.36178088107
179.0	235795.55859398964
180.0	235773.05737665534
