alpha(deg)	g_sm/2pi(Hz)
0.0	6344456.824057265
1.0	6247429.4452569485
2.0	6150364.071725025
3.0	6053377.708911994
4.0	5956589.361897797
5.0	5860117.0360888755
6.0	5764076.736698067
7.0	5668587.469087803
8.0	5573764.238233386
9.0	5479723.04953614
10.0	5386577.907921968
11.0	5294442.818411038
12.0	5203428.786156281
13.0	5113648.815846694
14.0	5025209.912436589
15.0	4938221.080698356
16.0	4852788.325161362
17.0	4769015.65053772
18.0	4687004.061296598
19.0	4606854.561625673
20.0	4528664.155983854
21.0	4452527.848543012
22.0	4378539.643143657
23.0	4306787.5437980965
24.0	4237360.554286949
25.0	4170342.678236339
26.0	4105814.919217621
27.0	4043857.2804704965
28.0	3984543.765218546
29.0	3927947.3766360683
30.0	3874137.117604275
31.0	3823176.9908497767
32.0	3775130.9990051575
33.0	3730056.144448562
34.0	3688008.429413922
35.0	3649037.856119274
36.0	3613193.4263548492
37.0	3580517.142034016
38.0	3551049.004497317
39.0	3524826.015313283
40.0	3501878.1757009337
41.0	3482235.486594208
42.0	3465919.948906061
43.0	3452952.563119129
44.0	3443349.329939779
45.0	3437120.2495842883
46.0	3434274.3220274947
47.0	3434814.5472285626
48.0	3438739.9250411224
49.0	3446045.454832379
50.0	3456722.1361496313
51.0	3470757.967912701
52.0	3488134.949217477
53.0	3508832.0789139494
54.0	3532824.355460527
55.0	3560080.7774931616
56.0	3590570.343073697
57.0	3624254.050437944
58.0	3661092.897438748
59.0	3701038.881766697
60.0	3744046.001020595
61.0	3790061.2526415256
62.0	3839027.6338711847
63.0	3890885.141801852
64.0	3945571.7733303728
65.0	4003020.5252003497
66.0	4063160.3942443253
67.0	4125919.376765404
68.0	4191220.4691056954
69.0	4258982.667696564
70.0	4329125.968443427
71.0	4401562.36742952
72.0	4476204.860404206
73.0	4552962.44320613
74.0	4631741.111428639
75.0	4712444.86066195
76.0	4794975.68620465
77.0	4879232.583590683
78.0	4965113.547823734
79.0	5052512.574285171
80.0	5141323.657972112
81.0	5231439.793928262
82.0	5322748.977140306
83.0	5415141.202502752
84.0	5508504.464906642
85.0	5602722.759043534
86.0	5697683.079851021
87.0	5793269.4219248695
88.0	5889365.779957099
89.0	5985853.148874304
90.0	6082615.523080432
91.0	6179533.897502094
92.0	6276491.266589524
93.0	6373369.625127187
94.0	6470048.967895602
95.0	6566413.289490982
96.0	6662344.584601683
97.0	6757724.84820377
98.0	6852440.0748973265
99.0	6946373.259612246
100.0	7039409.397378042
101.0	7131436.4829904055
102.0	7222342.511532566
103.0	7312015.478087602
104.0	7400346.37788818
105.0	7487227.206216704
106.0	7572552.95821797
107.0	7656219.629565288
108.0	7738125.215648712
109.0	7818168.712099513
110.0	7896254.114798309
111.0	7972285.419434299
112.0	8046169.622133148
113.0	8117817.718837568
114.0	8187141.70592241
115.0	8254056.579720885
116.0	8318482.336720055
117.0	8380338.973597891
118.0	8439551.487090703
119.0	8496048.874134311
120.0	8549760.13195069
121.0	8600621.257729163
122.0	8648570.248758836
123.0	8693548.102764487
124.0	8735500.817434095
125.0	8774376.39074596
126.0	8810126.820782429
127.0	8842711.10568916
128.0	8872086.243988255
129.0	8898219.234414697
130.0	8921077.075512988
131.0	8940630.766503008
132.0	8956858.306382589
133.0	8969739.694629872
134.0	8979257.930682201
135.0	8985403.014325961
136.0	8988165.945397297
137.0	8987543.72403147
138.0	8983538.350517968
139.0	8976153.825245928
140.0	8965398.14889884
141.0	8951286.322319223
142.0	8933834.34658922
143.0	8913063.222755428
144.0	8888999.952258509
145.0	8861671.536728693
146.0	8831112.977815563
147.0	8797360.277408188
148.0	8760456.437554965
149.0	8720444.46058853
150.0	8677373.348950945
151.0	8631297.105144009
152.0	8582270.731908776
153.0	8530354.232140744
154.0	8475610.608884878
155.0	8418105.865430212
156.0	8357912.005080866
157.0	8295101.031235551
158.0	8229749.947636714
159.0	8161937.757937221
160.0	8091748.466133672
161.0	8019266.076222525
162.0	7944579.592260367
163.0	7867780.018592384
164.0	7788961.359524243
165.0	7708218.619600262
166.0	7625651.803236168
167.0	7541359.915175472
168.0	7455445.960172106
169.0	7368015.942940748
170.0	7279174.868523622
171.0	7189031.741784826
172.0	7097696.567921225
173.0	7005280.351802242
174.0	6911895.0987243
175.0	6817655.813756172
176.0	6722677.502249423
177.0	6627074.169317271
178.0	6530963.820366502
179.0	6434463.460659874
180.0	6337690.095460192
