alpha(deg)	Q_opt
0.0	97906.16
1.0	97906.16
2.0	97906.16
3.0	97906.16
4.0	97906.16
5.0	97906.16
6.0	97906.16
7.0	97906.16
8.0	97906.16
9.0	97906.16
10.0	97906.16
11.0	97906.16
12.0	97906.16
13.0	97906.16
14.0	97906.16
15.0	97906.16
16.0	97906.16
17.0	97906.16
18.0	97906.16
19.0	97906.16
20.0	97906.16
21.0	97906.16
22.0	97906.16
23.0	97906.16
24.0	97906.16
25.0	97906.16
26.0	97906.16
27.0	97906.16
28.0	97906.16
29.0	97906.16
30.0	97906.16
31.0	97906.16
32.0	97906.16
33.0	97906.16
34.0	97906.16
35.0	97906.16
36.0	97906.16
37.0	97906.16
38.0	97906.16
39.0	97906.16
40.0	97906.16
41.0	97906.16
42.0	97906.16
43.0	97906.16
44.0	97906.16
45.0	97906.16
46.0	97906.16
47.0	97906.16
48.0	97906.16
49.0	97906.16
50.0	97906.16
51.0	97906.16
52.0	97906.16
53.0	97906.16
54.0	97906.16
55.0	97906.16
56.0	97906.16
57.0	97906.16
58.0	97906.16
59.0	97906.16
60.0	97906.16
61.0	97906.16
62.0	97906.16
63.0	97906.16
64.0	97906.16
65.0	97906.16
66.0	97906.16
67.0	97906.16
68.0	97906.16
69.0	97906.16
70.0	97906.16
71.0	97906.16
72.0	97906.16
73.0	97906.16
74.0	97906.16
75.0	97906.16
76.0	97906.16
77.0	97906.16
78.0	97906.16
79.0	97906.16
80.0	97906.16
81.0	97906.16
82.0	97906.16
83.0	97906.16
84.0	97906.16
85.0	97906.16
86.0	97906.16
87.0	97906.16
88.0	97906.16
89.0	97906.16
90.0	97906.16
91.0	97906.16
92.0	97906.16
93.0	97906.16
94.0	97906.16
95.0	97906.16
96.0	97906.16
97.0	97906.16
98.0	97906.16
99.0	97906.16
100.0	97906.16
101.0	97906.16
102.0	97906.16
103.0	97906.16
104.0	97906.16
105.0	97906.16
106.0	97906.16
107.0	97906.16
108.0	97906.16
109.0	97906.16
110.0	97906.16
111.0	97906.16
112.0	97906.16
113.0	97906.16
114.0	97906.16
115.0	97906.16
116.0	97906.16
117.0	97906.16
118.0	97906.16
119.0	97906.16
120.0	97906.16
121.0	97906.16
122.0	97906.16
123.0	97906.16
124.0	97906.16
125.0	97906.16
126.0	97906.16
127.0	97906.16
128.0	97906.16
129.0	97906.16
130.0	97906.16
131.0	97906.16
132.0	97906.16
133.0	97906.16
134.0	97906.16
135.0	97906.16
136.0	97906.16
137.0	97906.16
138.0	97906.16
139.0	97906.16
140.0	97906.16
141.0	97906.16
142.0	97906.16
143.0	97906.16
144.0	97906.16
145.0	97906.16
146.0	97906.16
147.0	97906.16
148.0	97906.16
149.0	97906.16
150.0	97906.16
151.0	97906.16
152.0	97906.16
153.0	97906.16
154.0	97906.16
155.0	97906.16
156.0	97906.16
157.0	97906.16
158.0	97906.16
159.0	97906.16
160.0	97906.16
161.0	97906.16
162.0	97906.16
163.0	97906.16
164.0	97906.16
165.0	97906.16
166.0	97906.16
167.0	97906.16
168.0	97906.16
169.0	97906.16
170.0	97906.16
171.0	97906.16
172.0	97906.16
173.0	97906.16
174.0	97906.16
175.0	97906.16
176.0	97906.16
177.0	97906.16
178.0	97906.16
179.0	97906.16
180.0	97906.16
