alpha(deg)	e23
0.0	9.528501789302397e-07
1.0	1.6039642071280995e-07
2.0	1.5791766272510223e-07
3.0	1.55390697191516e-07
4.0	1.5281642429280136e-07
5.0	1.501956442280479e-07
6.0	1.4752905721439054e-07
7.0	1.448175634205791e-07
8.0	1.4206196308791936e-07
9.0	1.3926305642426142e-07
10.0	1.3642174362469733e-07
11.0	1.3353892494114212e-07
12.0	1.3061530062473443e-07
13.0	1.2765197086877123e-07
14.0	1.246498359206073e-07
15.0	1.2160959606328665e-07
16.0	1.1853245152786156e-07
17.0	1.1541910261076628e-07
18.0	1.1227064955745123e-07
19.0	1.0908789268482375e-07
20.0	1.0587203228037622e-07
21.0	1.026238686859666e-07
22.0	9.934447220453183e-08
23.0	9.603479322541896e-08
24.0	9.269587211515407e-08
25.0	8.932871928879606e-08
26.0	8.593435519354294e-08
27.0	8.251381030040441e-08
28.0	7.906814517484528e-08
29.0	7.559839040102968e-08
30.0	7.210560666937419e-08
31.0	6.859087475204457e-08
32.0	6.505524557319053e-08
33.0	6.149981020129864e-08
34.0	5.7925649934359744e-08
35.0	5.4333856359606953e-08
36.0	5.0725511464389135e-08
37.0	4.710173778511401e-08
38.0	4.3463628655532845e-08
39.0	3.981229856260968e-08
40.0	3.61488737397683e-08
41.0	3.24744631749808e-08
42.0	2.879021036950472e-08
43.0	2.5097266691805062e-08
44.0	2.1396768200445806e-08
45.0	1.7689941085188743e-08
46.0	1.397802175574627e-08
47.0	1.0262484111576341e-08
48.0	6.545560715186304e-09
49.0	2.835206211935253e-09
50.0	9.711327525576408e-10
51.0	4.644041930416392e-09
52.0	8.359745387910732e-09
53.0	1.2076372864092897e-08
54.0	1.579035367420054e-08
55.0	1.949995832022277e-08
56.0	2.320384678731025e-08
57.0	2.6900804868475415e-08
58.0	3.058965395674452e-08
59.0	3.426923637626594e-08
60.0	3.7938425203450404e-08
61.0	4.1596089428175826e-08
62.0	4.5241111596303684e-08
63.0	4.8872356399354644e-08
64.0	5.2488740015191295e-08
