alpha(deg)	g_mb/2pi(Hz)
0.0	86768.38
1.0	86768.38
2.0	86768.38
3.0	86768.38
4.0	86768.38
5.0	86768.38
6.0	86768.38
7.0	86768.38
8.0	86768.38
9.0	86768.38
10.0	86768.38
11.0	86768.38
12.0	86768.38
13.0	86768.38
14.0	86768.38
15.0	86768.38
16.0	86768.38
17.0	86768.38
18.0	86768.38
19.0	86768.38
20.0	86768.38
21.0	86768.38
22.0	86768.38
23.0	86768.38
24.0	86768.38
25.0	86768.38
26.0	86768.38
27.0	86768.38
28.0	86768.38
29.0	86768.38
30.0	86768.38
31.0	86768.38
32.0	86768.38
33.0	86768.38
34.0	86768.38
35.0	86768.38
36.0	86768.38
37.0	86768.38
38.0	86768.38
39.0	86768.38
40.0	86768.38
41.0	86768.38
42.0	86768.38
43.0	86768.38
44.0	86768.38
45.0	86768.38
46.0	86768.38
47.0	86768.38
48.0	86768.38
49.0	86768.38
50.0	86768.38
51.0	86768.38
52.0	86768.38
53.0	86768.38
54.0	86768.38
55.0	86768.38
56.0	86768.38
57.0	86768.38
58.0	86768.38
59.0	86768.38
60.0	86768.38
61.0	86768.38
62.0	86768.38
63.0	86768.38
64.0	86768.38
65.0	86768.38
66.0	86768.38
67.0	86768.38
68.0	86768.38
69.0	86768.38
70.0	86768.38
71.0	86768.38
72.0	86768.38
73.0	86768.38
74.0	86768.38
75.0	86768.38
76.0	86768.38
77.0	86768.38
78.0	86768.38
79.0	86768.38
80.0	86768.38
81.0	86768.38
82.0	86768.38
83.0	86768.38
84.0	86768.38
85.0	86768.38
86.0	86768.38
87.0	86768.38
88.0	86768.38
89.0	86768.38
90.0	86768.38
91.0	86768.38
92.0	86768.38
93.0	86768.38
94.0	86768.38
95.0	86768.38
96.0	86768.38
97.0	86768.38
98.0	86768.38
99.0	86768.38
100.0	86768.38
101.0	86768.38
102.0	86768.38
103.0	86768.38
104.0	86768.38
105.0	86768.38
106.0	86768.38
107.0	86768.38
108.0	86768.38
109.0	86768.38
110.0	86768.38
111.0	86768.38
112.0	86768.38
113.0	86768.38
114.0	86768.38
115.0	86768.38
116.0	86768.38
117.0	86768.38
118.0	86768.38
119.0	86768.38
120.0	86768.38
121.0	86768.38
122.0	86768.38
123.0	86768.38
124.0	86768.38
125.0	86768.38
126.0	86768.38
127.0	86768.38
128.0	86768.38
129.0	86768.38
130.0	86768.38
131.0	86768.38
132.0	86768.38
133.0	86768.38
134.0	86768.38
135.0	86768.38
136.0	86768.38
137.0	86768.38
138.0	86768.38
139.0	86768.38
140.0	86768.38
141.0	86768.38
142.0	86768.38
143.0	86768.38
144.0	86768.38
145.0	86768.38
146.0	86768.38
147.0	86768.38
148.0	86768.38
149.0	86768.38
150.0	86768.38
151.0	86768.38
152.0	86768.38
153.0	86768.38
154.0	86768.38
155.0	86768.38
156.0	86768.38
157.0	86768.38
158.0	86768.38
159.0	86768.38
160.0	86768.38
161.0	86768.38
162.0	86768.38
163.0	86768.38
164.0	86768.38
165.0	86768.38
166.0	86768.38
167.0	86768.38
168.0	86768.38
169.0	86768.38
170.0	86768.38
171.0	86768.38
172.0	86768.38
173.0	86768.38
174.0	86768.38
175.0	86768.38
176.0	86768.38
177.0	86768.38
178.0	86768.38
179.0	86768.38
180.0	86768.38
