alpha(deg)	g_om/2pi(Hz)
0.0	323361.20709260873
1.0	323384.5116386331
2.0	323451.6257753716
3.0	323562.1494747579
4.0	323715.48260726576
5.0	323911.0250120487
6.0	324147.6764966288
7.0	324424.3368052326
8.0	324739.705644088
9.0	325092.18267811503
10.0	325480.06755326304
11.0	325901.559832557
12.0	326354.459114045
13.0	326836.5648839175
14.0	327345.67662811244
15.0	327879.29380664683
16.0	328434.6158856179
17.0	329009.1422442292
18.0	329599.97226433957
19.0	330204.3053464517
20.0	330819.1408038689
21.0	331441.4780133797
22.0	332068.2162836866
23.0	332696.45496117935
24.0	333323.09335302474
25.0	333945.030781728
26.0	334559.2666044498
27.0	335162.8001293368
28.0	335752.630712238
29.0	336326.05770162656
30.0	336880.08051684266
31.0	337412.09850847145
32.0	337919.5111236284
33.0	338399.91781535
34.0	338850.81803335407
35.0	339270.1113205087
36.0	339655.7971903249
37.0	340005.97522419697
38.0	340318.8450391336
39.0	340593.0063132605
40.0	340826.9587218967
41.0	341019.8020077169
42.0	341170.4359725488
43.0	341278.0604440681
44.0	341342.3752819254
45.0	341362.88043753704
46.0	341339.47589129367
47.0	341272.46163632587
48.0	341161.93775756116
49.0	341008.60437499714
50.0	340813.0616547336
51.0	340576.4097948379
52.0	340299.7490586761
53.0	339984.37974851136
54.0	339631.902208514
55.0	339244.0168023581
56.0	338822.52396174317
57.0	338369.6241469264
58.0	337887.4178474428
59.0	337378.4055650872
60.0	336844.78788921406
61.0	336289.46534973907
62.0	335714.938576966
63.0	335124.10818085144
64.0	334519.7748161504
65.0	333904.9391271368
66.0	333282.6017574997
67.0	332655.8633856353
68.0	332027.52472801966
69.0	331400.98639059375
70.0	330779.0490883315
71.0	330164.81349663157
72.0	329561.2802549098
73.0	328971.45001795044
74.0	328398.02341427864
75.0	327844.00106532755
76.0	327311.9835472152
77.0	326804.5714515638
78.0	326324.16531517403
79.0	325873.2656298195
80.0	325453.9729061701
81.0	325068.2875716754
82.0	324718.1100505488
83.0	324405.24070004374
84.0	324131.0798806114
85.0	323897.02785729215
86.0	323704.28488902166
87.0	323553.651206249
88.0	323446.0269316292
89.0	323381.7122007669
90.0	323361.20709260873
91.0	323384.5116386331
92.0	323451.6257753716
93.0	323562.1494747579
94.0	323715.48260726576
95.0	323911.0250120487
96.0	324147.6764966288
97.0	324424.3368052326
98.0	324739.705644088
99.0	325092.18267811503
100.0	325480.06755326304
101.0	325901.559832557
102.0	326354.459114045
103.0	326836.5648839175
104.0	327345.67662811244
105.0	327879.29380664683
106.0	328434.6158856179
107.0	329009.1422442292
108.0	329599.97226433957
109.0	330204.3053464517
110.0	330819.1408038689
111.0	331441.4780133797
112.0	332068.2162836866
113.0	332696.45496117935
114.0	333323.09335302474
115.0	333945.030781728
116.0	334559.2666044498
117.0	335162.8001293368
118.0	335752.630712238
119.0	336326.05770162656
120.0	336880.08051684266
121.0	337412.09850847145
122.0	337919.511139804
123.0	338399.91781535
124.0	338850.81803335407
125.0	339270.1113205087
126.0	339655.7971903249
127.0	340005.97522419697
128.0	340318.8450391336
129.0	340593.0063132605
130.0	340826.9587218967
131.0	341019.8020077169
132.0	341170.4359725488
133.0	341278.0604440681
134.0	341342.3752819254
135.0	341362.88043753704
136.0	341339.47589129367
137.0	341272.46163632587
138.0	341161.93775756116
139.0	341008.60437499714
140.0	340813.0616547336
141.0	340576.4097948379
142.0	340299.7490586761
143.0	339984.37974851136
144.0	339631.902208514
145.0	339244.0168023581
146.0	338822.52396174317
147.0	338369.6241469264
148.0	337887.4178474428
149.0	337378.4055650872
150.0	336844.78788921406
151.0	336289.46534973907
152.0	335714.938576966
153.0	335124.10818085144
154.0	334519.7748161504
155.0	333904.9391271368
156.0	333282.6017574997
157.0	332655.8633856353
158.0	332027.52472801966
159.0	331400.98639059375
160.0	330779.0490883315
161.0	330164.81349663157
162.0	329561.2802549098
163.0	328971.45001795044
164.0	328398.02341427864
165.0	327844.00106532755
166.0	327311.9835472152
167.0	326804.5714515638
168.0	326324.16531517403
169.0	325873.2656298195
170.0	325453.9729061701
171.0	325068.2875716754
172.0	324718.1100505488
173.0	324405.24070004374
174.0	324131.0798806114
175.0	323897.02785729215
176.0	323704.28488902166
177.0	323553.651206249
178.0	323446.0269316292
179.0	323381.7122007669
180.0	323361.20709260873
