alpha(deg)	g_pe/2pi(Hz)
0.0	236607.8456171498
1.0	236631.2503253685
2.0	236698.2654038915
3.0	236808.79076758455
4.0	236962.12629932023
5.0	237157.6718147571
6.0	237394.32711739998
7.0	237670.991923699
8.0	237986.36591042124
9.0	238338.8487165718
10.0	238726.7399613137
11.0	239148.2391569165
12.0	239601.1458886223
13.0	240083.35956565008
14.0	240592.4796682697
15.0	241126.0056133835
16.0	241681.3367980519
17.0	242255.8725540486
18.0	242846.71221890868
19.0	243451.055150009
20.0	244065.90059975607
21.0	244688.24790760505
22.0	245314.99632788298
23.0	245943.34513091837
24.0	246569.89364208526
25.0	247191.84106642602
26.0	247806.08674531654
27.0	248409.62993116383
28.0	248999.56991797895
29.0	249572.90606698033
30.0	250126.93771186346
31.0	250658.96416456052
32.0	251166.3848438959
33.0	251646.79916485256
34.0	252097.70654433419
35.0	252517.1064766908
36.0	252902.6985055619
37.0	253252.88211761226
38.0	253565.7569358486
39.0	253839.92261719727
40.0	254073.9787968211
41.0	254266.72525838373
42.0	254417.36173433406
43.0	254525.08804417495
44.0	254589.30409062112
45.0	254609.80976869728
46.0	254586.50505856163
47.0	254519.39000374323
48.0	254408.864640079
49.0	254255.52910838206
50.0	254059.98359299562
51.0	253823.32829041022
52.0	253546.66348417592
53.0	253231.28949752633
54.0	252878.80669145368
55.0	252490.9154467911
56.0	252069.41622951013
57.0	251616.50951965022
58.0	251134.3958190164
59.0	250625.27571647768
60.0	250091.74977143807
61.0	249536.31861052488
62.0	248961.78285459007
63.0	248370.94316801842
64.0	247766.60025872738
65.0	247151.7548090179
66.0	246529.50747749873
67.0	245902.65905915393
68.0	245274.41025420022
69.0	244647.76176670508
70.0	244025.81432057722
71.0	243411.56866341733
72.0	242808.02547752656
73.0	242218.18546697282
74.0	241644.74931983332
75.0	241090.71769664317
76.0	240558.69122210593
77.0	240051.27054269103
78.0	239570.8562434192
79.0	239119.94884208823
80.0	238700.64890772733
81.0	238314.95690246002
82.0	237964.7732903346
83.0	237651.89845026124
84.0	237377.73279061218
85.0	237143.77656547818
86.0	236950.93012755385
87.0	236800.2936733294
88.0	236692.66733977257
89.0	236628.35129523175
90.0	236607.8456171498
91.0	236631.2503253685
92.0	236698.2654038915
93.0	236808.79076758455
94.0	236962.12629932023
95.0	237157.6718147571
96.0	237394.32711739998
97.0	237670.991923699
98.0	237986.36591042124
99.0	238338.8487165718
100.0	238726.7399613137
101.0	239148.2391569165
102.0	239601.1458886223
103.0	240083.35956565008
104.0	240592.4796682697
105.0	241126.0056133835
106.0	241681.3367980519
107.0	242255.8725540486
108.0	242846.71221890868
109.0	243451.055150009
110.0	244065.90059975607
111.0	244688.24790760505
112.0	245314.99632788298
113.0	245943.34513091837
114.0	246569.89364208526
115.0	247191.84106642602
116.0	247806.08674531654
117.0	248409.62993116383
118.0	248999.56991797895
119.0	249572.90606698033
120.0	250126.93771186346
121.0	250658.96416456052
122.0	251166.38486565856
123.0	251646.79916485256
124.0	252097.70654433419
125.0	252517.1064766908
126.0	252902.6985055619
127.0	253252.88211761226
128.0	253565.7569358486
129.0	253839.92261719727
130.0	254073.9787968211
131.0	254266.72525838373
132.0	254417.36173433406
133.0	254525.08804417495
134.0	254589.30409062112
135.0	254609.80976869728
136.0	254586.50505856163
137.0	254519.39000374323
138.0	254408.864640079
139.0	254255.52910838206
140.0	254059.98359299562
141.0	253823.32829041022
142.0	253546.66348417592
143.0	253231.28949752633
144.0	252878.80669145368
145.0	252490.9154467911
146.0	252069.41622951013
147.0	251616.50951965022
148.0	251134.3958190164
149.0	250625.27571647768
150.0	250091.74977143807
151.0	249536.31861052488
152.0	248961.78285459007
153.0	248370.94316801842
154.0	247766.60025872738
155.0	247151.7548090179
156.0	246529.50747749873
157.0	245902.65905915393
158.0	245274.41025420022
159.0	244647.76176670508
160.0	244025.81432057722
161.0	243411.56866341733
162.0	242808.02547752656
163.0	242218.18546697282
164.0	241644.74931983332
165.0	241090.71769664317
166.0	240558.69122210593
167.0	240051.27054269103
168.0	239570.8562434192
169.0	239119.94884208823
170.0	238700.64890772733
171.0	238314.95690246002
172.0	237964.7732903346
173.0	237651.89845026124
174.0	237377.73279061218
175.0	237143.77656547818
176.0	236950.93012755385
177.0	236800.2936733294
178.0	236692.66733977257
179.0	236628.35129523175
180.0	236607.8456171498
