alpha(deg)	g_sm/2pi(Hz)
0.0	6104556.804517295
1.0	6008817.134739972
2.0	5913205.52152574
3.0	5817836.996352472
4.0	5722828.581598999
5.0	5628296.308510135
6.0	5534354.202322527
7.0	5441117.292355701
8.0	5348699.601690224
9.0	5257212.158420298
10.0	5166768.987785444
11.0	5077478.1185787385
12.0	4989448.572890797
13.0	4902789.377127046
14.0	4817603.554776093
15.0	4733996.1310192635
16.0	4652070.129347687
17.0	4571923.574201349
18.0	4493653.48637223
19.0	4417357.888146641
20.0	4343127.80128428
21.0	4271053.246700936
22.0	4201223.244468314
23.0	4133722.813864966
24.0	4068632.974023949
25.0	4006034.7427852997
26.0	3946002.1376792323
27.0	3888610.175141124
28.0	3833927.8710635183
29.0	3782021.2405286506
30.0	3732955.297340834
31.0	3686787.0556613933
32.0	3643575.527023264
33.0	3603371.7235324946
34.0	3566225.655798988
35.0	3532180.333907759
36.0	3501279.766409725
37.0	3473559.9617815637
38.0	3449054.9265847886
39.0	3427794.667451342
40.0	3409805.1893491996
41.0	3395107.4964674986
42.0	3383720.5921608554
43.0	3375657.4785890216
44.0	3370928.157529983
45.0	3369538.6286591645
46.0	3371488.892414828
47.0	3376778.946184651
48.0	3385400.7879407573
49.0	3397344.4141660114
50.0	3412594.820347258
51.0	3431133.001174347
52.0	3452936.950084139
53.0	3477979.6601735433
54.0	3506230.123089018
55.0	3537655.3292037607
56.0	3572215.269249627
57.0	3609868.931573025
58.0	3650569.3050794927
59.0	3694267.3763087685
60.0	3740909.1323413
61.0	3790438.5585481175
62.0	3842794.639747776
63.0	3897914.359925265
64.0	3955728.7023162064
65.0	4016168.6495001507
66.0	4079160.183067422
67.0	4144626.2842350244
68.0	4212485.933429529
69.0	4282659.109741638
70.0	4355057.792873133
71.0	4429593.960991929
72.0	4506177.592090971
73.0	4584714.662714164
74.0	4665110.151404119
75.0	4747265.03064449
76.0	4831079.280625128
77.0	4916450.875433704
78.0	5003275.787445789
79.0	5091447.993910864
80.0	5180859.468170877
81.0	5271402.183568849
82.0	5362965.114171664
83.0	5455437.231852
84.0	5548704.511401014
85.0	5642653.927369075
86.0	5737170.44820502
87.0	5832139.046747899
88.0	5927444.700224959
89.0	6022970.375374679
90.0	6118600.0474713035
91.0	6214215.690075859
92.0	6309702.27164152
93.0	6404942.767682328
94.0	6499821.15127803
95.0	6594221.393316052
96.0	6688029.466395995
97.0	6781129.345789284
98.0	6873408.003854475
99.0	6964753.412710603
100.0	7055053.546667838
101.0	7144198.381746089
102.0	7232079.891294759
103.0	7318590.050853154
104.0	7403623.835241024
105.0	7487077.221227307
106.0	7568848.182912972
107.0	7648837.700245435
108.0	7726948.750503868
109.0	7803083.309019454
110.0	7877151.353584926
111.0	7949061.868791372
112.0	8018725.8300044155
113.0	8086059.2201398695
114.0	8150980.017264056
115.0	8213409.207467802
116.0	8273269.769808714
117.0	8330488.691127937
118.0	8384997.952704888
119.0	8436728.540425468
120.0	8485618.442871824
121.0	8531608.641362859
122.0	8574641.1278922
123.0	8614665.890364414
124.0	8651631.914741386
125.0	8685495.19622522
126.0	8716213.722998189
127.0	8743750.486415803
128.0	8768071.479300613
129.0	8789147.699824553
130.0	8806952.136967298
131.0	8821463.791357612
132.0	8832664.656375792
133.0	8840540.733165195
134.0	8845084.017090553
135.0	8846286.507871956
136.0	8844147.207923206
137.0	8838670.118472928
138.0	8829860.242688514
139.0	8817728.580142226
140.0	8802291.140098881
141.0	8783563.927471468
142.0	8761572.944809938
143.0	8736342.203832332
144.0	8707903.710018314
145.0	8676291.472722204
146.0	8641543.502525982
147.0	8603703.808595909
148.0	8562817.406377126
149.0	8518933.306027487
150.0	8472105.520869117
151.0	8422391.067857442
152.0	8369850.958665076
153.0	8314548.211003652
154.0	8256550.841406987
155.0	8195928.8681068495
156.0	8132757.308158881
157.0	8067111.180786892
158.0	7999071.505971797
159.0	7928721.303224531
160.0	7856145.593753201
161.0	7781432.400227368
162.0	7704674.744142836
163.0	7625963.647464686
164.0	7545397.134846883
165.0	7463071.229246535
166.0	7379086.954613745
167.0	7293547.336594014
168.0	7206556.398434709
169.0	7118219.167475928
170.0	7028643.670354504
171.0	6937939.931076811
172.0	6846216.976046009
173.0	6753586.833125417
174.0	6660163.52971033
175.0	6566060.091268398
176.0	6471390.547355597
177.0	6376270.922739246
178.0	6280816.248901192
179.0	6185144.547982768
180.0	6089369.853857807
