alpha(deg)	x_zpf(m)
0.0	1.609711e-15
1.0	1.609711e-15
2.0	1.609711e-15
3.0	1.609711e-15
4.0	1.609711e-15
5.0	1.609711e-15
6.0	1.609711e-15
7.0	1.609711e-15
8.0	1.609711e-15
9.0	1.609711e-15
10.0	1.609711e-15
11.0	1.609711e-15
12.0	1.609711e-15
13.0	1.609711e-15
14.0	1.609711e-15
15.0	1.609711e-15
16.0	1.609711e-15
17.0	1.609711e-15
18.0	1.609711e-15
19.0	1.609711e-15
20.0	1.609711e-15
21.0	1.609711e-15
22.0	1.609711e-15
23.0	1.609711e-15
24.0	1.609711e-15
25.0	1.609711e-15
26.0	1.609711e-15
27.0	1.609711e-15
28.0	1.609711e-15
29.0	1.609711e-15
30.0	1.609711e-15
31.0	1.609711e-15
32.0	1.609711e-15
33.0	1.609711e-15
34.0	1.609711e-15
35.0	1.609711e-15
36.0	1.609711e-15
37.0	1.609711e-15
38.0	1.609711e-15
39.0	1.609711e-15
40.0	1.609711e-15
41.0	1.609711e-15
42.0	1.609711e-15
43.0	1.609711e-15
44.0	1.609711e-15
45.0	1.609711e-15
46.0	1.609711e-15
47.0	1.609711e-15
48.0	1.609711e-15
49.0	1.609711e-15
50.0	1.609711e-15
51.0	1.609711e-15
52.0	1.609711e-15
53.0	1.609711e-15
54.0	1.609711e-15
55.0	1.609711e-15
56.0	1.609711e-15
57.0	1.609711e-15
58.0	1.609711e-15
59.0	1.609711e-15
60.0	1.609711e-15
61.0	1.609711e-15
62.0	1.609711e-15
63.0	1.609711e-15
64.0	1.609711e-15
65.0	1.609711e-15
66.0	1.609711e-15
67.0	1.609711e-15
68.0	1.609711e-15
69.0	1.609711e-15
70.0	1.609711e-15
71.0	1.609711e-15
72.0	1.609711e-15
73.0	1.609711e-15
74.0	1.609711e-15
75.0	1.609711e-15
76.0	1.609711e-15
77.0	1.609711e-15
78.0	1.609711e-15
79.0	1.609711e-15
80.0	1.609711e-15
81.0	1.609711e-15
82.0	1.609711e-15
83.0	1.609711e-15
84.0	1.609711e-15
85.0	1.609711e-15
86.0	1.609711e-15
87.0	1.609711e-15
88.0	1.609711e-15
89.0	1.609711e-15
90.0	1.609711e-15
91.0	1.609711e-15
92.0	1.609711e-15
93.0	1.609711e-15
94.0	1.609711e-15
95.0	1.609711e-15
96.0	1.609711e-15
97.0	1.609711e-15
98.0	1.609711e-15
99.0	1.609711e-15
100.0	1.609711e-15
101.0	1.609711e-15
102.0	1.609711e-15
103.0	1.609711e-15
104.0	1.609711e-15
105.0	1.609711e-15
106.0	1.609711e-15
107.0	1.609711e-15
108.0	1.609711e-15
109.0	1.609711e-15
110.0	1.609711e-15
111.0	1.609711e-15
112.0	1.609711e-15
113.0	1.609711e-15
114.0	1.609711e-15
115.0	1.609711e-15
116.0	1.609711e-15
117.0	1.609711e-15
118.0	1.609711e-15
119.0	1.609711e-15
120.0	1.609711e-15
121.0	1.609711e-15
122.0	1.609711e-15
123.0	1.609711e-15
124.0	1.609711e-15
125.0	1.609711e-15
126.0	1.609711e-15
127.0	1.609711e-15
128.0	1.609711e-15
129.0	1.609711e-15
130.0	1.609711e-15
131.0	1.609711e-15
132.0	1.609711e-15
133.0	1.609711e-15
134.0	1.609711e-15
135.0	1.609711e-15
136.0	1.609711e-15
137.0	1.609711e-15
138.0	1.609711e-15
139.0	1.609711e-15
140.0	1.609711e-15
141.0	1.609711e-15
142.0	1.609711e-15
143.0	1.609711e-15
144.0	1.609711e-15
145.0	1.609711e-15
146.0	1.609711e-15
147.0	1.609711e-15
148.0	1.609711e-15
149.0	1.609711e-15
150.0	1.609711e-15
151.0	1.609711e-15
152.0	1.609711e-15
153.0	1.609711e-15
154.0	1.609711e-15
155.0	1.609711e-15
156.0	1.609711e-15
157.0	1.609711e-15
158.0	1.609711e-15
159.0	1.609711e-15
160.0	1.609711e-15
161.0	1.609711e-15
162.0	1.609711e-15
163.0	1.609711e-15
164.0	1.609711e-15
165.0	1.609711e-15
166.0	1.609711e-15
167.0	1.609711e-15
168.0	1.609711e-15
169.0	1.609711e-15
170.0	1.609711e-15
171.0	1.609711e-15
172.0	1.609711e-15
173.0	1.609711e-15
174.0	1.609711e-15
175.0	1.609711e-15
176.0	1.609711e-15
177.0	1.609711e-15
178.0	1.609711e-15
179.0	1.609711e-15
180.0	1.609711e-15
