b(nm)	V_mech/lp^3
1.0	1.5809659016493554e-29
5.0	3.264276218918244e-29
10.0	8.064286689606247e-30
15.0	2.6323526029285586e-30
20.0	9.09857446368055e-29
25.0	3.97594453564431e-29
30.0	4.3229290051855946e-29
35.0	1.3023544780210956e-27
40.0	1.2030162042221192e-28
45.0	5.260913444289404e-29
50.0	3.257014294065503e-30
55.0	2.2513427858587508e-30
60.0	2.023638212438127e-28
65.0	1.4324741942232784e-28
70.0	7.505226354282125e-29
75.0	3.3197738521803087e-28
80.0	7.064595795414066e-29
85.0	4.610725314549567e-29
90.0	6.529433382802292e-30
95.0	2.3365840972758585e-29
100.0	1.100459644927784e-29
