b(nm)	V_mech/ls^3
1.0	5.33576128685617e-29
5.0	1.1016934113849237e-28
10.0	2.72169678248037e-29
15.0	8.884191034513034e-30
20.0	3.070768931489025e-28
25.0	1.3418812057804633e-28
30.0	1.458988001750139e-28
35.0	4.395444613323447e-27
40.0	4.060177814253451e-28
45.0	1.7755585751334704e-28
50.0	1.0992421229538286e-29
55.0	7.598281681162196e-30
60.0	6.829779217852773e-28
65.0	4.834599782754014e-28
70.0	2.533014307505435e-28
75.0	1.120423512609228e-27
80.0	2.3843011312297033e-28
85.0	1.5561197436908667e-28
90.0	2.2036836250955446e-29
95.0	7.885972578555869e-29
100.0	3.714052176659685e-29
