b(nm)	f_opt(Hz)
1.0	202577900000000.0
5.0	202344700000000.0
10.0	202122800000000.0
15.0	201909700000000.0
20.0	201732100000000.0
25.0	201586700000000.0
30.0	201431800000000.0
35.0	201291800000000.0
40.0	201166300000000.0
45.0	201031800000000.0
50.0	200904100000000.0
55.0	200812000000000.0
60.0	200679200000000.0
65.0	200606900000000.0
70.0	200509300000000.0
75.0	200406000000000.0
80.0	200298100000000.0
85.0	200221200000000.0
90.0	200158500000000.0
95.0	200081500000000.0
100.0	199988200000000.0
