b(nm)	g_om/2pi(Hz)
1.0	726959.4990373185
5.0	629201.0233962534
10.0	547740.6337471014
15.0	382233.7642434068
20.0	439798.36103800527
25.0	442215.0590303165
30.0	432894.20012118394
35.0	416438.1385357933
40.0	402169.5936917969
45.0	386911.4328917548
50.0	369099.28079087683
55.0	347565.9429199524
60.0	323361.20709260873
65.0	301549.2929785649
70.0	273898.700875082
75.0	246838.24879780243
80.0	221088.6214087491
85.0	195359.15551521504
90.0	178525.17117811818
95.0	153929.7404337775
100.0	136493.3822109278
