b(nm)	g_pe/2pi(Hz)
1.0	236733.0286744731
5.0	264806.55559132725
10.0	258632.28647242827
15.0	225145.7839604692
20.0	264687.9337339646
25.0	275869.85492317966
30.0	279308.80018782016
35.0	277907.65774499014
40.0	275380.0735012883
45.0	272715.6531004975
50.0	264194.26351098635
55.0	252419.29230372942
60.0	236607.8456171498
65.0	221381.87243555512
70.0	202738.48006557018
75.0	182113.99263059333
80.0	161542.4894017397
85.0	142072.01426395687
90.0	129321.64493299798
95.0	109351.54080345704
100.0	95455.8593743963
