b(nm)	g_sm/2pi(Hz)
1.0	37225210.62114584
5.0	17434443.220849644
10.0	15172897.48770888
15.0	10353650.037642216
20.0	13493994.441515908
25.0	12939772.74156116
30.0	10857600.002456253
35.0	9556417.79936195
40.0	9004987.053443616
45.0	8538068.116095701
50.0	7531255.713938613
55.0	6762514.187211525
60.0	6089369.853857807
65.0	5311992.450208555
70.0	4757433.432550135
75.0	4202387.770979725
80.0	3533584.4734749505
85.0	3051830.4846595703
90.0	3132184.4480958907
95.0	2448228.1239553024
100.0	2190621.2422636845
